experiment_id,text_w,voice_w,behaviour_w,structured_w,temporal_w,precision,recall,f1,roc_auc,pr_auc
search_103,0.4,0.2,0.0,0.2,0.19999999999999996,0.0993202416918429,0.9528985507246377,0.179890560875513,0.7564404628183703,0.2618363098014542
search_116,0.6,0.0,0.2,0.2,0.0,0.09506531204644413,0.9492753623188406,0.17282321899736147,0.7229995981845245,0.2610166259438038
search_106,0.4,0.2,0.2,0.2,0.0,0.09146757679180888,0.9710144927536232,0.1671865252651279,0.7548680173145943,0.2608942585734416
search_113,0.6,0.0,0.0,0.2,0.19999999999999996,0.099644128113879,0.9130434782608695,0.17967914438502675,0.7265394555400309,0.2599235063290337
search_39,0.0,0.4,0.0,0.4,0.19999999999999996,0.15162721893491124,0.7427536231884058,0.25184275184275184,0.7684915025159129,0.25913384025920594
search_77,0.2,0.2,0.2,0.2,0.19999999999999996,0.10094517958412098,0.967391304347826,0.1828141047586443,0.7710799019204952,0.2576248053402795
search_43,0.0,0.4,0.2,0.4,0.0,0.1332525741974561,0.7971014492753623,0.2283341982355994,0.7516951590367387,0.25246512893076073
search_123,0.8,0.0,0.0,0.2,0.0,0.09329221279876639,0.8768115942028986,0.1686411149825784,0.7209168926878715,0.2521045046218514
search_58,0.2,0.0,0.0,0.2,0.6,0.13948126801152738,0.8768115942028986,0.24067628045748385,0.7775802946038008,0.2507656153091587
search_28,0.0,0.2,0.2,0.2,0.3999999999999999,0.15143769968051118,0.8586956521739131,0.2574687669744704,0.7763109229884112,0.2491143347749088
search_100,0.4,0.0,0.4,0.2,0.0,0.09140332993544002,0.9746376811594203,0.16713264989127058,0.7294925709797905,0.2446890544408578
search_67,0.2,0.0,0.4,0.2,0.19999999999999996,0.10231660231660232,0.9601449275362319,0.18492672714584787,0.7638221098965325,0.24379187554944415
search_73,0.2,0.2,0.0,0.2,0.3999999999999999,0.11836734693877551,0.9456521739130435,0.21039903264812576,0.77075456836799,0.2394564123519025
search_93,0.4,0.0,0.0,0.2,0.3999999999999999,0.10880829015544041,0.9130434782608695,0.19444444444444445,0.7434385359305223,0.2389650719375479
search_18,0.0,0.0,0.6,0.4,0.0,0.1877486077963405,0.855072463768116,0.30789302022178733,0.8124018291736299,0.23693289129628886
search_49,0.0,0.6,0.0,0.4,0.0,0.13824561403508773,0.7137681159420289,0.23162845385067607,0.742069851967526,0.23429072575229654
search_89,0.2,0.6,0.0,0.2,0.0,0.09750566893424037,0.9347826086956522,0.17659137577002054,0.7497876770499439,0.23396548994849228
search_83,0.2,0.4,0.0,0.2,0.19999999999999996,0.1071719641401793,0.9528985507246377,0.19267399267399268,0.7557110307480159,0.23365243471842603
search_23,0.0,0.2,0.0,0.2,0.6,0.17763157894736842,0.782608695652174,0.289544235924933,0.7906786800361634,0.23272022191424957
search_86,0.2,0.4,0.2,0.2,0.0,0.09331476323119778,0.9710144927536232,0.17026683608640406,0.7490913490954587,0.2316652208946687
search_80,0.2,0.2,0.4,0.2,0.0,0.08830237862495927,0.9818840579710145,0.16203288490284007,0.7512191446809677,0.22570654473383742
search_13,0.0,0.0,0.4,0.2,0.3999999999999999,0.18160190325138778,0.8297101449275363,0.2979830839297333,0.7989387277060904,0.22322156386761013
search_125,0.8,0.2,0.0,0.0,0.0,0.08025343189017951,0.8260869565217391,0.14629451395572665,0.7088607161447632,0.21690671552335736
search_32,0.0,0.2,0.4,0.2,0.19999999999999996,0.12706611570247933,0.8913043478260869,0.2224231464737794,0.7548349131987251,0.21581595926403585
search_121,0.6,0.4,0.0,0.0,0.0,0.08039492242595205,0.8260869565217391,0.14652956298200515,0.709296777257244,0.21575139073456182
search_111,0.4,0.6,0.0,0.0,0.0,0.08065086664308455,0.8260869565217391,0.14695456010312602,0.708844734847447,0.2124738282252216
search_120,0.6,0.2,0.2,0.0,0.0,0.08086727219455025,1.0,0.149634047167254,0.7133463238450087,0.21046621947940475
search_42,0.0,0.4,0.2,0.2,0.19999999999999996,0.13472378804960541,0.8659420289855072,0.23317073170731709,0.7351071431832918,0.2098284780723562
search_20,0.0,0.0,0.8,0.2,0.0,0.08,1.0,0.14814814814814814,0.7972281581326539,0.20889738790979184
search_91,0.2,0.8,0.0,0.0,0.0,0.08093716719914804,0.8260869565217391,0.14742967992240544,0.7078190780161274,0.20736398763734953
search_126,1.0,0.0,0.0,0.0,0.0,0.0779580530273051,0.7137681159420289,0.14056368176953266,0.6490615553911766,0.20238894525071538
search_110,0.4,0.4,0.2,0.0,0.0,0.08093841642228738,1.0,0.149755832881172,0.715292617553857,0.20180784556304998
search_124,0.8,0.0,0.2,0.0,0.0,0.08060747663551401,1.0,0.1491891891891892,0.6668835557016702,0.20145257866495564
search_17,0.0,0.0,0.6,0.2,0.19999999999999996,0.11753731343283583,0.9130434782608695,0.20826446280991737,0.7895656968302239,0.19691007155429138
